Date,Close,wsize_5,wsize_6,wsize_7,wsize_8,wsize_9,wsize_10,wsize_11,wsize_12,wsize_13,wsize_14
2009-04-28,16.481,40,50,42.857,50,55.556,50,45.455,50,53.846,57.143
2009-04-29,16.646,60,50,57.143,50,55.556,60,54.545,50,53.846,57.143
2009-04-30,16.737,60,66.667,57.143,62.5,55.556,60,63.636,58.333,53.846,57.143
2009-05-01,16.925,80,66.667,71.429,62.5,66.667,60,63.636,66.667,61.538,57.143
2009-05-04,17.567,80,83.333,71.429,75,66.667,70,63.636,66.667,69.231,64.286
2009-05-05,17.653,100,83.333,85.714,75,77.778,70,72.727,66.667,69.231,71.429
2009-05-06,17.625,80,83.333,71.429,75,66.667,70,63.636,66.667,61.538,64.286
2009-05-07,17.167,60,66.667,71.429,62.5,66.667,60,63.636,58.333,61.538,57.143
2009-05-08,17.184,60,66.667,71.429,75,66.667,70,63.636,66.667,61.538,64.286
2009-05-11,17.235,60,66.667,71.429,75,77.778,70,72.727,66.667,69.231,64.286
2009-05-12,16.55,40,50,57.143,62.5,66.667,70,63.636,66.667,61.538,64.286
2009-05-13,15.894,40,33.333,42.857,50,55.556,60,63.636,58.333,61.538,57.143
2009-05-14,16.354,60,50,42.857,50,55.556,60,63.636,66.667,61.538,64.286
2009-05-15,16.284,40,50,42.857,37.5,44.444,50,54.545,58.333,61.538,57.143
2009-05-18,16.847,40,50,57.143,50,44.444,50,54.545,58.333,61.538,64.286
2009-05-19,16.953,60,50,57.143,62.5,55.556,50,54.545,58.333,61.538,64.286
2009-05-20,16.743,60,50,42.857,50,55.556,50,45.455,50,53.846,57.143
2009-05-21,16.518,40,50,42.857,37.5,44.444,50,45.455,41.667,46.154,50
2009-05-22,16.295,40,33.333,42.857,37.5,33.333,40,45.455,41.667,38.462,42.857
2009-05-26,17.396,40,50,42.857,50,44.444,40,45.455,50,46.154,42.857
2009-05-27,17.698,40,50,57.143,50,55.556,50,45.455,50,53.846,50
2009-05-28,17.967,60,50,57.143,62.5,55.556,60,54.545,50,53.846,57.143
2009-05-29,18.065,80,66.667,57.143,62.5,66.667,60,63.636,58.333,53.846,57.143
2009-06-01,18.536,100,83.333,71.429,62.5,66.667,70,63.636,66.667,61.538,57.143
2009-06-02,18.554,100,100,85.714,75,66.667,70,72.727,66.667,69.231,64.286
2009-06-03,18.749,100,100,100,87.5,77.778,70,72.727,75,69.231,71.429
2009-06-04,19.12,100,100,100,100,88.889,80,72.727,75,76.923,71.429
2009-06-05,19.243,100,100,100,100,100,90,81.818,75,76.923,78.571
2009-06-08,19.134,80,83.333,85.714,87.5,88.889,90,81.818,75,69.231,71.429
2009-06-09,18.984,60,66.667,71.429,75,77.778,80,81.818,75,69.231,64.286
2009-06-10,18.656,40,50,57.143,62.5,66.667,70,72.727,75,69.231,64.286
2009-06-11,18.616,20,33.333,42.857,50,55.556,60,63.636,66.667,69.231,64.286
2009-06-12,18.219,0,16.667,28.571,37.5,44.444,50,54.545,58.333,61.538,64.286
2009-06-15,18.102,0,0,14.286,25,33.333,40,45.455,50,53.846,57.143
2009-06-16,18.137,20,16.667,14.286,25,33.333,40,45.455,50,53.846,57.143
2009-06-17,18.034,20,16.667,14.286,12.5,22.222,30,36.364,41.667,46.154,50
2009-06-18,18.074,40,33.333,28.571,25,22.222,30,36.364,41.667,46.154,50
2009-06-19,18.553,60,50,42.857,37.5,33.333,30,36.364,41.667,46.154,50
2009-06-22,18.272,60,50,42.857,37.5,33.333,30,27.273,33.333,38.462,42.857
2009-06-23,17.826,40,50,42.857,37.5,33.333,30,27.273,25,30.769,35.714
2009-06-24,18.119,60,50,57.143,50,44.444,40,36.364,33.333,30.769,35.714
2009-06-25,18.604,60,66.667,57.143,62.5,55.556,50,45.455,41.667,38.462,35.714
2009-06-26,18.947,60,66.667,71.429,62.5,66.667,60,54.545,50,46.154,42.857
2009-06-29,18.884,60,50,57.143,62.5,55.556,60,54.545,50,46.154,42.857
2009-06-30,18.946,80,66.667,57.143,62.5,66.667,60,63.636,58.333,53.846,50
2009-07-01,18.999,80,83.333,71.429,62.5,66.667,70,63.636,66.667,61.538,57.143
2009-07-02,18.625,60,66.667,71.429,62.5,55.556,60,63.636,58.333,61.538,57.143
2009-07-06,18.437,40,50,57.143,62.5,55.556,50,54.545,58.333,53.846,57.143
2009-07-07,18.01,40,33.333,42.857,50,55.556,50,45.455,50,53.846,50
2009-07-08,18.253,40,50,42.857,50,55.556,60,54.545,50,53.846,57.143
2009-07-09,18.138,20,33.333,42.857,37.5,44.444,50,54.545,50,46.154,50
